補助金名,補助金上限額,補助率,対象地域,従業員数の上限,募集期間,詳細URL,取得日時
「起業スタートダッシュ」 高校生起業家養成プログラム 第5期養成講座の受講生を募集します！,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082704,2025-08-27T10:13:03.442483+00:00
令和7年度「学童クラブ職員就職相談会」の開催について,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082707,2025-08-27T10:13:03.445080+00:00
「令和7年度 第2回 復興応援ふるさと市」の開催,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082606,2025-08-27T10:13:03.445222+00:00
令和7年度障害者週間ポスターの「標語」を募集します 15字で描こう、共に生きる社会,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082716,2025-08-27T10:13:03.445277+00:00
指定医療機関の行政処分について,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082714,2025-08-27T10:13:03.445341+00:00
職場で休職者の復帰を支える皆さまへ 第18回 うつ病休職者の職場復帰支援を考えるフォーラム,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082611,2025-08-27T10:13:03.445418+00:00
「水素モビリティ体験ツアー」の参加者を募集します！ 水素ハイブリッド電車「HYBARI」に乗車し、走行体験するイベントは初開催,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082605,2025-08-27T10:13:03.445574+00:00
令和7年度東京都依存症対策普及啓発フォーラム 多様化する現代の依存症 「やめられない」を、ともに考える,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082603,2025-08-27T10:13:03.445684+00:00
青山創業促進センター 令和7年度下半期アクセラレーションプログラム受講者の募集開始！,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082507,2025-08-27T10:13:03.445892+00:00
京都府等との連携による商談会等を開催します 令和7年度「地域連携型商談機会創出事業」,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082506,2025-08-27T10:13:03.445983+00:00
新規事業　事業承継を契機とした「第二創業」支援事業「ツギノツギ」事業開発プログラム（第一期）の公募開始！,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082505,2025-08-27T10:13:03.446077+00:00
地方独立行政法人東京都健康長寿医療センター監事の任命について,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082503,2025-08-27T10:13:03.446185+00:00
「地域とつながる若者フォーラム」を開催 若者からのアイデア募集を開始します！,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082210,2025-08-27T10:13:03.446306+00:00
家庭のゼロエミッション行動推進事業 「東京ゼロエミポイント」による支援を拡充します！,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082204,2025-08-27T10:13:03.446479+00:00
世界に羽ばたくアニメーター等の育成支援事業 「現代版トキワ荘」起業家育成プログラム第1期生を募集します,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082205,2025-08-27T10:13:03.446563+00:00
全ての業種を対象に中小企業における設備（機械設備、ソフトウェア）の導入を支援します！ 第10回（令和7年度第2回）躍進的な事業推進のための設備投資支援事業募集開始,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082206,2025-08-27T10:13:03.446661+00:00
TOKYO UNITEと連携協定を締結しました,,,東京都,,,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082211,2025-08-27T10:13:03.446800+00:00
民間医療機関向け補助金概要|事業主の方へ|東京都保健医療局,,,東京都保健医療局,,,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou,2025-08-27T10:13:07.672702+00:00
健康・医療,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/kurashi/kenko-iryo?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.684911+00:00
高齢者・福祉,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/kurashi/fukushi?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.685035+00:00
助成・補助金,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/purpose/grant?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.685456+00:00
公募・募集,,,東京都保健医療局,,,https://www.metro.tokyo.lg.jp/purpose/opencall?utm_source=search&utm_medium=internal&utm_id=sidebar,2025-08-27T10:13:07.685671+00:00
